delta_x/l,delta_z/l,force
5.6000000000000005,4.0,1.0012383088665031
5.7,4.0,1.0031751593786542
5.800000000000001,4.0,1.0049496891193408
5.9,4.0,1.00656729507087
6.0,4.0,1.008033374215549
6.1000000000000005,4.0,1.0093533235356837
6.2,4.0,1.010532540013582
6.300000000000001,4.0,1.0115764206315512
6.4,4.0,1.0124903623718973
6.5,4.0,1.0132797622169276
6.6000000000000005,4.0,1.013950017148949
6.7,4.0,1.0145065241502684
6.800000000000001,4.0,1.0149546802031928
6.9,4.0,1.0152998822900292
7.0,4.0,1.015547527393084
7.1000000000000005,4.0,1.015703012494665
7.2,4.0,1.0157717345770785
7.300000000000001,4.0,1.0157590906226317
7.4,4.0,1.015670477613631
7.5,4.0,1.0155112925323846
7.6000000000000005,4.0,1.015286932361198
7.7,4.0,1.0150027940823794
7.800000000000001,4.0,1.0146642746782342
7.9,4.0,1.0142767711310707
8.0,4.0,1.0138456804231955
8.1,4.0,1.0133763995369152
8.200000000000001,4.0,1.0128743254545367
8.3,4.0,1.0123448551583674
8.4,4.0,1.011793385630714
8.5,4.0,1.011225313853883
8.6,4.0,1.0106460368101824
8.700000000000001,4.0,1.010060951481918
8.8,4.0,1.0094754548513973
8.9,4.0,1.008894943900927
9.0,4.0,1.0083248156128144
9.1,4.0,1.007770466969366
9.200000000000001,4.0,1.007237294952889
9.3,4.0,1.0067277278719018
9.4,4.0,1.0062356653109559
9.5,4.0,1.0057604233277773
9.600000000000001,4.0,1.0053018162962954
9.700000000000001,4.0,1.0048596585904401
9.8,4.0,1.0044337645841408
9.9,4.0,1.0040239486513267
10.0,4.0,1.0036300251659274
10.100000000000001,4.0,1.0032518085018731
10.200000000000001,4.0,1.0028891130330928
10.3,4.0,1.0025417531335166
10.4,4.0,1.002209543177073
10.5,4.0,1.0018922975376927
10.600000000000001,4.0,1.0015898305893047
10.700000000000001,4.0,1.0013019567058388
10.8,4.0,1.001028490261224
10.9,4.0,1.000769245629391
11.0,4.0,1.0005240371842683
11.100000000000001,4.0,1.000292679299786
11.200000000000001,4.0,1.0000749863498732
11.3,4.0,0.9998707727084599
11.4,4.0,0.9996798527494757
11.5,4.0,0.9995020408468498
11.600000000000001,4.0,0.9993371513745122
11.700000000000001,4.0,0.9991849987063919
11.8,4.0,0.9990453972164188
11.9,4.0,0.9989181612785226
12.0,4.0,0.9988031052666326
12.100000000000001,4.0,0.9987000435546788
12.200000000000001,4.0,0.9986087905165901
12.3,4.0,0.9985291605262965
12.4,4.0,0.9984609679577274
12.5,4.0,0.9984040271848127
12.600000000000001,4.0,0.9983581525814813
12.700000000000001,4.0,0.9983231585216632
12.8,4.0,0.9982988593792883
12.9,4.0,0.9982850695282854
13.0,4.0,0.9982816033425846
13.100000000000001,4.0,0.9982882751961154
13.200000000000001,4.0,0.9983048994628072
13.3,4.0,0.9983312905165896
13.4,4.0,0.9983672627313923
13.5,4.0,0.9984126304811447
13.600000000000001,4.0,0.9984672081397765
13.700000000000001,4.0,0.9985308100812171
13.8,4.0,0.998603250679396
13.9,4.0,0.9986843443082435
14.0,4.0,0.998773905341688
14.100000000000001,4.0,0.9988717481536599
14.200000000000001,4.0,0.9989776871180882
14.3,4.0,0.9990915366089033
14.4,4.0,0.9992131110000343
14.5,4.0,0.9993422246654103
14.600000000000001,4.0,0.9994786919789612
14.700000000000001,4.0,0.9996223273146168
14.8,4.0,0.9997729450463062
14.9,4.0,0.9999303595479598
15.0,4.0,1.0000943851935067
15.100000000000001,4.0,1.000264836356876
15.200000000000001,4.0,1.0004415274119975
15.3,4.0,1.0006242727328012
15.4,4.0,1.0008128866932164
15.5,4.0,1.0010071836671726
15.600000000000001,4.0,1.0012069780285997
15.700000000000001,4.0,1.0014120841514265
15.8,4.0,1.0016223164095832
15.9,4.0,1.001837489176999
16.0,4.0,1.0020574168276042
16.1,4.0,1.0022819137353274
16.2,4.0,1.002510794274099
16.3,4.0,1.0027438728178477
16.400000000000002,4.0,1.0029809637405036
16.5,4.0,1.0032218814159963
16.6,4.0,1.0034664402182552
16.7,4.0,1.00371445452121
16.8,4.0,1.0039657386987901
16.900000000000002,4.0,1.004220107124925
17.0,4.0,1.0044773741735444
17.1,4.0,1.004737354218578
17.2,4.0,1.0049998616339553
